Country,total_population,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,major_ports_and_terminals,railway_coverage_km,roadway_coverage_km,total_air_assets,total_land_assets,total_naval_assets,total_assets,assets_per_capita,budget_to_gdp_ratio,power_score,computed_rank,power_index_rank_gap,region,alliance
Slovenia,2097893,7300,26000,5000,39,0,0,4,23,0,0,16,0,54,1428,0,18,0,2,0,0,0,0,0,0,2,0,886860000,102036000000,2370000000,42,2,1207,38985,55,1500,2,1557,742.1732185578578,0.00869163824532518,177374968.5,91.0,90.0,Other,Non-NATO
Ireland,5233461,7765,1700,0,22,0,0,4,8,2,0,8,0,0,1712,0,0,0,8,0,0,0,0,0,0,8,0,1500000000,608463000000,12905000000,100,21,1688,99830,30,1712,8,1750,334.3867471258504,0.002465227959629427,300003204.5,76.0,75.0,Other,Non-NATO
Mongolia,3281676,35000,135000,50000,7,0,0,3,2,0,0,2,0,420,2560,0,500,130,0,0,0,0,0,0,0,0,0,165110000,56264000000,4782000000,35,0,1815,113200,9,3610,0,3619,1102.790159662319,0.002934558509881985,33034309.5,135.0,134.0,Other,Non-NATO
Latvia,1801246,17250,36000,12500,7,0,0,0,0,0,0,7,0,0,1848,47,0,0,18,0,0,0,0,0,0,11,6,1138000000,71154000000,4957000000,56,5,2216,70244,14,1895,18,1927,1069.81500583485,0.015993478933018522,227606138.5,84.0,83.0,Other,Non-NATO
Uruguay,3425330,25000,0,5000,43,0,6,6,12,5,2,12,0,31,3042,6,70,4,14,0,0,0,0,0,0,2,2,772400000,105096000000,16257000000,64,8,1673,77732,55,3153,14,3222,940.639296067824,0.0073494709598842965,154489111.0,96.0,95.0,Other,Non-NATO
Honduras,9529188,52225,60000,23000,40,4,7,10,10,1,0,8,0,11,614,0,32,0,98,0,0,0,0,0,0,93,0,413635000,68854000000,7543000000,129,8,699,14742,48,657,98,803,84.26741082241215,0.006007421500566416,82743069.0,109.0,108.0,Other,Non-NATO
Ivory Coast,29981758,22000,0,5500,19,0,0,4,2,3,0,10,3,5,656,0,2,3,3,0,0,0,0,0,0,3,0,669600935,202758000000,7583484000,29,5,660,81996,29,666,3,698,23.280822959080652,0.0033024637005691516,133927136.0,99.0,98.0,Other,Non-NATO
Guatemala,18255216,106114,90000,35000,36,0,4,10,0,0,0,21,0,5,688,0,50,0,25,0,0,0,0,0,0,20,0,408635000,223183000000,21311000000,58,3,800,17440,57,743,25,825,45.1925630460905,0.001830941424750093,81759246.7,112.0,111.0,Other,Non-NATO
Mali,21990607,40000,0,4800,43,9,12,7,4,1,0,10,8,10,570,0,10,20,0,0,0,0,0,0,0,0,0,650386000,57235000000,647800000,30,0,593,139107,53,610,0,663,30.149235989711425,0.01136343146675985,130089531.5,100.0,99.0,Other,Non-NATO
Kyrgyzstan,6172101,23000,300000,55000,7,0,0,0,0,0,0,7,2,215,2686,30,169,21,0,0,0,0,0,0,0,0,0,221800000,45461000000,3237000000,28,0,424,34000,14,3121,0,3135,507.93076782120056,0.004878907195178285,44368467.5,130.0,129.0,Other,Non-NATO
